Fig 3A,,,
Group,Bin_name_1,Bin_name_2,average_r
O,Bin767,Bin664,0.69 
O,Bin767,Bin649,0.72 
O,Bin767,Bin582,0.61 
O,Bin767,Bin460,0.53 
O,Bin767,Bin386,0.61 
O,Bin767,Bin375,0.61 
O,Bin767,Bin289,0.60 
O,Bin767,Bin282,0.70 
O,Bin767,Bin281,0.64 
O,Bin767,Bin224,0.58 
O,Bin767,Bin204,0.61 
O,Bin767,Bin172,0.67 
O,Bin767,Bin154,0.69 
O,Bin767,Bin81,0.59 
O,Bin324,Bin293,0.72 
O,Bin324,Bin289,0.72 
O,Bin324,Bin281,0.83 
O,Bin324,Bin280,0.72 
O,Bin324,Bin172,0.63 
O,Bin324,Bin154,0.81 
O,Bin324,Bin93,0.85 
O,Bin324,Bin81,0.70 
O,Bin163,Bin142,0.69 
O,Bin163,Bin96,0.66 
O,Bin163,Bin90,0.84 
O,Bin163,Bin89,0.92 
O,Bin163,Bin79,0.59 
O,Bin448,Bin446,0.64 
O,Bin448,Bin78,0.72 
O,Bin490,Bin484,0.79 
O,Bin490,Bin467,0.62 
O,Bin490,Bin454,0.77 
O,Bin490,Bin448,0.57 
O,Bin490,Bin421,0.81 
O,Bin490,Bin413,0.74 
O,Bin490,Bin394,0.80 
O,Bin490,Bin362,0.73 
O,Bin490,Bin329,0.73 
O,Bin490,Bin323,0.68 
O,Bin490,Bin295,0.72 
O,Bin490,Bin291,0.72 
O,Bin490,Bin266,0.65 
O,Bin490,Bin218,0.59 
O,Bin490,Bin214,0.76 
O,Bin490,Bin206,0.81 
O,Bin490,Bin152,0.76 
O,Bin490,Bin135,0.73 
O,Bin490,Bin121,0.69 
O,Bin490,Bin77,0.75 
O,Bin490,Bin74,0.87 
O,Bin295,Bin291,0.66 
O,Bin295,Bin287,0.65 
O,Bin295,Bin266,0.62 
O,Bin295,Bin218,0.68 
O,Bin295,Bin182,0.64 
O,Bin295,Bin152,0.75 
O,Bin295,Bin135,0.70 
O,Bin295,Bin74,0.74 
O,Bin152,Bin115,0.64 
O,Bin152,Bin77,0.64 
O,Bin152,Bin74,0.79 
O,Bin77,Bin74,0.71 
O,Bin1032,Bin246,0.69 
O,Bin1032,Bin71,0.62 
O,Bin869,Bin354,0.74 
O,Bin869,Bin220,0.79 
O,Bin869,Bin155,0.77 
O,Bin869,Bin108,0.89 
O,Bin869,Bin69,0.85 
O,Bin731,Bin553,0.59 
O,Bin731,Bin354,0.72 
O,Bin731,Bin220,0.68 
O,Bin731,Bin155,0.73 
O,Bin731,Bin108,0.79 
O,Bin731,Bin69,0.74 
O,Bin220,Bin155,0.74 
O,Bin220,Bin108,0.83 
O,Bin220,Bin69,0.78 
O,Bin155,Bin108,0.84 
O,Bin155,Bin69,0.69 
O,Bin882,Bin825,0.75 
O,Bin882,Bin775,0.59 
O,Bin882,Bin769,0.61 
O,Bin882,Bin761,0.77 
O,Bin882,Bin739,0.62 
O,Bin882,Bin664,0.80 
O,Bin882,Bin649,0.79 
O,Bin882,Bin592,0.67 
O,Bin882,Bin410,0.74 
O,Bin882,Bin332,0.80 
O,Bin882,Bin324,0.75 
O,Bin882,Bin293,0.69 
O,Bin882,Bin154,0.84 
O,Bin882,Bin93,0.83 
O,Bin882,Bin68,0.68 
O,Bin718,Bin664,0.76 
O,Bin718,Bin649,0.66 
O,Bin718,Bin597,0.62 
O,Bin718,Bin425,0.73 
O,Bin718,Bin410,0.65 
O,Bin718,Bin390,0.66 
O,Bin718,Bin333,0.65 
O,Bin718,Bin332,0.72 
O,Bin718,Bin324,0.63 
O,Bin718,Bin289,0.62 
O,Bin718,Bin282,0.59 
O,Bin718,Bin281,0.74 
O,Bin718,Bin269,0.59 
O,Bin718,Bin200,0.66 
O,Bin718,Bin154,0.72 
O,Bin718,Bin132,0.65 
O,Bin718,Bin100,0.48 
O,Bin718,Bin93,0.71 
O,Bin718,Bin81,0.63 
O,Bin718,Bin68,0.69 
O,Bin592,Bin583,0.75 
O,Bin592,Bin582,0.68 
O,Bin592,Bin410,0.57 
O,Bin592,Bin390,0.58 
O,Bin592,Bin332,0.71 
O,Bin592,Bin281,0.61 
O,Bin592,Bin154,0.67 
O,Bin592,Bin93,0.65 
O,Bin592,Bin68,0.62 
O,Bin914,Bin911,0.73 
O,Bin914,Bin834,0.77 
O,Bin914,Bin719,0.84 
O,Bin914,Bin618,0.67 
