Fig 3B,,,
Group,Bin_name_1,Bin_name_2,average_r
T,Bin68,Bin2,0.61 
T,Bin181,Bin2,0.58 
T,Bin570,Bin2,0.57 
T,Bin693,Bin2,0.63 
T,Bin863,Bin2,0.55 
T,Bin958,Bin2,0.56 
T,Bin18,Bin3,0.70 
T,Bin22,Bin3,0.59 
T,Bin141,Bin3,0.57 
T,Bin257,Bin3,0.56 
T,Bin325,Bin3,0.59 
T,Bin329,Bin3,0.63 
T,Bin341,Bin3,0.74 
T,Bin392,Bin3,0.67 
T,Bin413,Bin3,0.63 
T,Bin454,Bin3,0.58 
T,Bin484,Bin3,0.66 
T,Bin544,Bin3,0.63 
T,Bin599,Bin3,0.61 
T,Bin601,Bin3,0.69 
T,Bin741,Bin3,0.71 
T,Bin743,Bin3,0.58 
T,Bin784,Bin3,0.67 
T,Bin811,Bin3,0.68 
T,Bin813,Bin3,0.61 
T,Bin843,Bin3,0.65 
T,Bin886,Bin3,0.62 
T,Bin907,Bin3,0.57 
T,Bin909,Bin3,0.78 
T,Bin941,Bin3,0.66 
T,Bin946,Bin3,0.64 
T,Bin960,Bin3,0.56 
T,Bin977,Bin3,0.62 
T,Bin980,Bin3,0.65 
T,Bin1088,Bin3,0.57 
T,Bin335,Bin4,0.70 
T,Bin419,Bin4,0.60 
T,Bin460,Bin4,0.60 
T,Bin755,Bin4,0.62 
T,Bin771,Bin4,0.69 
T,Bin924,Bin4,0.62 
T,Bin1028,Bin4,0.68 
T,Bin1082,Bin4,0.58 
T,Bin8,Bin5,0.60 
T,Bin873,Bin5,0.46 
T,Bin936,Bin5,0.46 
T,Bin334,Bin6,0.77 
T,Bin595,Bin6,0.75 
T,Bin26,Bin7,0.57 
T,Bin25,Bin8,0.60 
T,Bin26,Bin8,0.53 
T,Bin843,Bin10,0.70 
T,Bin73,Bin11,0.70 
T,Bin101,Bin12,0.77 
T,Bin340,Bin12,0.63 
T,Bin413,Bin12,0.73 
T,Bin484,Bin12,0.68 
T,Bin765,Bin12,0.69 
T,Bin811,Bin12,0.67 
T,Bin855,Bin12,0.64 
T,Bin907,Bin12,0.66 
T,Bin936,Bin12,0.63 
T,Bin960,Bin12,0.64 
